Pozycja,Kierowca,Łączny czas,Naj. okrążenie,Okrążenia,Punkty
Pozycja,Kierowca,Punkty
1,ChampOfHell94,,,,205
2,Piron,,,,174
3,Khasithe,,,,115
4,Sagxx,,,,104
5,Slawek,,,,101
6,Zaryczanski,,,,100
7,Kielkozaur,,,,100
8,Jakubczyk,,,,92
9,Kowen,,,,79
10,Sidyk,,,,77
11,Maciek81PL,,,,60
12,Wyspa,,,,56
13,Krzysztof O,,,,48
14,Killerku,,,,46
15,D.Krol,,,,42
16,PlugawyDzo,,,,29
17,ANAK,,,,19
18,NIX,,,,14
19,Gafofski,,,,11
20,CristianS,,,,9
21,Essamaner_PL,,,,0
22,Maciek5060S,,,,0
23,LukiYuki,,,,0
