Pozycja,Kierowca,Łączny czas,Naj. okrążenie,Okrążenia,Punkty
1,ChampOfHell94,21:14:479,01:44:022,12,20
2,KejsPower,21:17:913,01:45:400,12,16
3,Sagxx,21:32:131,01:46:087,12,13
4,D. Krol,21:42:504,01:46:077,12,11
5,Slawek,21:44:715,01:46:740,12,9
6,Drumefy,21:50:113,01:46:605,12,7
7,Chadeka90,22:27:582,01:47:650,12,5
8,Chapsior,20:24:711,01:47:950,10,4
9,Target XX,16:41:407,01:46:655,8,3
10,Kielkozaur,11:01:995,01:46:855,6,2
11,Kowen,DNF,DNF,0,
12,Zdybix,DNF,DNF,0,
13,Anonim 4,DNF,DNF,0,
