Pozycja,Kierowca,Łączny czas,Naj. okrążenie,Okrążenia,Punkty
1,ChampOfHell94,21:36:271,01:45:315,12,20
2,D. Krol,21:41:682,01:47:497,12,16
3,Piron,21:42:049,01:46:128,12,13
4,Anonim 4,21:47:673,01:47:727,12,11
5,THCMJ77,22:09:429,01:47:832,12,9
6,Chapsior,22:12:362,01:48:532,12,7
7,Target XX,22:12:559,01:48:162,12,5
8,Slawek,22:22:417,01:47:990,12,4
9,D3AR316,22:25:010,01:48:567,12,3
10,Chadeka90,22:26:151,01:50:070,12,2
11,Kielkozaur,21:54:807,01:46:060,12,1
12,Sagxx,21:44:969,01:46:952,12,1
13,Kill3rku,21:52:855,01:48:570,11,1
14,Khasithe,20:05:143,01:47:172,11,1
15,Zdybix,DNF,DNF,0,
