Pozycja,Kierowca,Łączny czas,Naj. okrążenie,Okrążenia,Punkty
1,ChampOfHell94,20:46:550,01:22:357,15,20
2,Piron,21:01:331,01:23:043,15,16
3,KejsPower,21:12:722,01:22:932,15,13
4,Sagxx,21:19:668,01:24:265,15,11
5,Khasithe,21:34:027,01:24:040,15,9
6,Slawek,21:35:514,01:24:587,15,7
7,Target XX,21:45:904,01:24:562,15,5
8,Kielkozaur,21:55:654,01:23:405,15,4
9,Kill3rku,21:55:679,01:24:207,15,3
10,Chadeka90,21:56:555,01:24:895,15,2
11,Sitek2453,22:04:966,01:25:707,15,1
12,Chapsior,20:20:491,01:27:535,13,1
13,THCMJ77,20:16:117,01:25:422,13,1
14,Zdybix,13:45:769,01:25:280,8,1
15,Drumefy,DNF,DNF,0,
