Pozycja,Kierowca,Łączny czas,Naj. okrążenie,Okrążenia,Punkty
1,ChampOfHell94,21:06:343,01:28:400,14,20
2,Kielkozaur,21:19:014,01:29:735,14,16
3,Sagxx,21:19:752,01:29:965,14,13
4,KejsPower,21:20:529,01:29:882,14,11
5,Slawek,21:32:833,01:30:147,14,9
6,Kowen,21:33:721,01:29:420,14,7
7,Chadeka90,21:44:262,01:31:405,14,5
8,Zdybix,21:50:907,01:31:510,14,4
9,Drumefy,21:52:237,01:30:322,14,3
10,Sitek2453,20:40:846,01:31:578,13,2
11,Kill3rku,19:19:608,01:30:845,12,1
12,Peszkin,15:20:749,01:30:755,9,1
13,D. Krol,DNF,DNF,6,
14,Target XX,20:43:505,01:30:102,13,1
15,Chapsior,DNF,DNF,4,
