Pozycja,Kierowca,Łączny czas,Naj. okrążenie,Okrążenia,Punkty
1,ChampOfHell94,21:05:534,01:29:437,14,20
2,Kielkozaur,+ 00:00:502,01:29:530,14,16
3,D. Krol,+ 00:13:688,01:30:237,14,13
4,Sagxx,+ 00:38:086,01:30:552,14,11
5,Dzonykirango,+ 00:39:313,01:31:032,14,9
6,D3AR316,+ 00:40:744,01:30:924,14,7
7,KejsPower,+ 00:45:792,01:31:197,14,5
8,Khasithe,+ 00:46:945,01:30:320,14,4
9,Drumefy,+ 00:54:508,01:31:210,14,3
10,Chadeka90,+ 01:06:997,01:32:220,14,2
11,Chapsior,+ 01:10:639,01:33:027,14,1
12,Slawek,+ 01:14:700,01:31:747,14,1
13,PlugawyDZO,+1 okrążenie,01:31:687,13,1
