Pozycja,Kierowca,Łączny czas,Naj. okrążenie,Okrążenia,Punkty
1,ChampOfHell94,20:11:682,02:00:092,10,20
2,Dzonykirango,+ 00:22:059,02:02:565,10,16
3,KejsPower,+ 00:24:954,02:01:772,10,13
4,Kowen,+ 00:25:505,02:02:162,10,11
5,Sagxx,+ 00:27:006,02:02:557,10,9
6,Kielkozaur,+ 00:27:395,02:02:067,10,7
7,D. Krol,+ 00:31:110,02:02:220,10,5
8,D3AR316,+ 00:34:438,02:02:802,10,4
9,Target XX,+ 00:41:480,02:03:172,10,3
10,Khasithe,+ 00:41:945,02:02:012,10,2
11,Slawek,+ 00:52:029,02:04:327,10,1
12,Zdybix,+ 00:54:078,02:03:407,10,1
13,Kill3rku,+ 01:21:155,02:02:957,10,1
14,Chapsior,+ 01:24:928,35791:23:647,10,1
15,Chadeka90,+ 01:27:904,02:06:697,10,1
