Pozycja,Kierowca,Łączny czas,Naj. okrążenie,Okrążenia,Punkty
1,ChampOfHell94,20:56:020,01:35:687,13,20
2,D. Krol,21:08:507,01:36:782,13,16
3,KejsPower,21:10:685,01:36:607,13,13
4,Kielkozaur,21:11:159,01:36:172,13,11
5,Kowen,21:20:617,01:37:352,13,9
6,Anonim 4,21:32:230,01:38:295,13,7
7,Sagxx,21:32:820,01:37:787,13,5
8,Drumefy,21:42:647,01:38:557,13,4
9,Khasithe,21:43:856,01:37:987,13,3
10,Kill3rku,21:51:416,01:37:947,13,2
11,Slawek,22:02:224,01:38:217,13,1
12,Zdybix,22:16:160,01:38:807,13,1
13,Target XX,18:55:779,01:38:087,11,1
