Pozycja,Kierowca,Łączny czas,Naj. okrążenie,Okrążenia,Punkty
1,Kielkozaur,20:29:874,01:25:670,14,20
2,D. Krol,+ 00:03:166,01:25:995,14,16
3,Khasithe,+ 00:18:751,01:26:375,14,13
4,Slawek,+ 00:34:476,01:27:400,14,11
5,Dzonykirango,+ 00:37:083,01:27:675,14,9
6,Drumefy,+ 00:37:779,01:27:505,14,7
7,PlugawyDZO,+ 00:38:362,01:27:517,14,5
8,Sagxx,+ 00:41:675,01:27:120,14,4
9,ChampOfHell94,+ -1:48:341,01:24:937,14,3
10,Chadeka90,+ 01:20:320,01:28:125,14,2
11,Chapsior,+2 okrążenia,01:29:375,12,1
12,D3AR316,DNF,DNF,0,0
