Position,Driver,Total time,Best lap,Laps,Points
1,ChampOfHell94,45:35:597,02:06:402,21,20
2,Maciek81PL,+00:33:992,02:07:827,21,16
3,Kowen,+00:43:147,02:07:662,21,13
4,Dzonykirango,+01:08:390,02:08:740,21,11
5,Kielkozaur,+01:08:735,02:07:642,21,9
6,MateuszKaz,+01:11:550,02:08:895,21,7
7,Peszkin,+01:32:763,02:09:247,21,5
8,Ozie99PL,+01:45:359,02:09:102,21,4
9,D3AR316,+02:05:753,02:10:314,21,3
10,Yachuu,+02:09:806,02:10:237,21,2
11,Khasithe,+02:10:122,02:09:610,21,1
12,Driu,+00:06:406 (+1 lap),02:11:195,20,1
13,Verstapenix,+00:06:634 (+1 lap),02:10:797,20,1
14,Chadeka90,+00:37:471 (+1 lap),02:12:167,20,1
15,Bobas3344,+00:41:639 (+1 lap),02:12:717,20,1
16,DrLaktoza,+00:47:188 (+1 lap),02:12:335,20,1
17,Kufir_PL,+01:41:376 (+1 lap),35791:23:647,20,1
18,JML_Pindzio,+00:14:337 (+2 laps),02:09:792,19,1
19,Chapsior,+00:08:380 (+4 laps),02:12:755,17,1
20,Sitek2453,DSQ,02:10:239,21,0
21,Drumefy,DSQ,02:10:657,20,0
