Position,Driver,Total time,Best lap,Laps,Points
1,ChampOfHell94,46:14:920,01:47:372,25,20
2,Dzonykirango,+00:29:805,01:48:175,25,16
3,Kowen,+00:32:934,01:48:455,25,13
4,THCMJ77,+00:51:284,01:48:860,25,11
5,Sagxx,+00:52:934,01:48:637,25,9
6,PlugawyDZO,+01:12:210,01:49:227,25,7
7,Peszkin,+01:19:532,01:48:772,25,5
8,Sitek2453,+01:35:836,01:49:581,25,4
9,Drumefy,+01:45:515,01:50:227,25,3
10,Maciek81PL,+01:46:813,01:49:410,25,2
11,Wyspa,+00:04:243 (+1 lap),01:48:840,24,1
12,Syk_151,+00:11:348 (+1 lap),01:49:687,24,1
13,DrLaktoza,+00:16:294 (+1 lap),01:50:227,24,1
14,Driu,+00:22:022 (+1 lap),01:50:595,24,1
15,Zdybix,+00:50:734 (+1 lap),01:50:565,24,1
16,Wuja,+01:59:792 (+1 lap),01:48:857,24,1
17,Chadeka90,+00:14:090 (+2 laps),01:51:142,23,1
18,Kielkozaur,+01:57:520 (+2 laps),01:47:845,23,1
19,Khasithe,+00:01:067 (+3 laps),01:48:462,22,1
20,Kill3rku,DNF,DNF,12,0
21,Yachuu,DNF,DNF,12,0
22,D. Krol,DNF,DNF,10,0
