Position,Driver,Total time,Best lap,Laps,Points
1,Kowen,45:29:720,02:18:302,19,20
2,Ozie99PL,+00:03:439,02:18:427,19,16
3,Kielkozaur,+00:04:543,02:18:320,19,13
4,Maciek81PL,+00:13:047,02:19:020,19,11
5,D. Krol,+00:20:491,02:19:317,19,9
6,Sagxx,+00:56:744,02:19:120,19,7
7,Yachuu,+01:01:720,02:20:720,19,5
8,Drumefy,+01:15:633,02:21:967,19,4
9,MateuszKaz,+01:29:383,02:19:947,19,3
10,Syk_151,+01:56:194,02:21:032,19,2
11,Driu,+02:20:927,02:24:205,19,1
12,Dzonykirango,+00:08:204 (+1 lap),02:20:860,18,1
13,Sitek2453,+00:21:127 (+1 lap),02:21:888,18,1
14,Kufir_PL,+00:30:547 (+1 lap),02:23:740,18,1
15,Wuja,+00:51:220 (+1 lap),02:19:885,18,1
16,Zdybix,+00:54:494 (+1 lap),02:23:312,18,1
17,D3AR316,+00:54:620 (+2 laps),02:20:478,17,1
18,Chapsior,+00:09:793 (+3 laps),02:22:750,16,1
19,DrLaktoza,+00:31:244 (+3 laps),02:22:710,16,1
20,Bobas3344,+01:35:308 (+3 laps),02:22:755,16,1
21,Chadeka90,DNF,DNF,3,0
22,Khasithe,DNF,DNF,5,0
23,JML_Pindzio,DNF,DNF,2,0
24,Kill3rku,DNF,DNF,1,0
