Position,Driver,Total time,Total time ms,Best lap,Laps,Points
1,ChampOfHell94 HRT,20:08:560,1208560,01:46:747,11,20
2,Kowen,+00:01:671,1210231,01:47:490,11,16
3,Sagxx,+00:09:355,1217915,01:48:082,11,13
4,Wuja,+00:29:265,1237825,01:49:232,11,11
5,Dzonykirango,+00:34:769,1243329,01:48:160,11,9
6,Wyspa,+00:36:406,1244966,01:49:059,11,7
7,Kielkozaur,+00:39:521,1248081,01:48:102,11,5
8,THCMJ77,+00:47:053,1255613,01:49:880,11,4
9,PlugawyDZO,+00:47:805,1256365,01:49:550,11,3
10,Maciek81PL,+00:49:894,1258454,01:49:422,11,2
11,Slawek,+00:55:444,1264004,01:50:650,11,1
12,Drumefy,+00:59:577,1268137,01:50:627,11,1
13,Chadeka90,+01:02:095,1270655,01:49:887,11,1
14,Zdybix,+01:19:502,1288062,01:50:662,11,1
15,Fikumacz ,+01:32:018,1300578,01:52:335,11,1
16,Chapsior,+01:30:323 (+1 lap),1298883,01:52:670,10,1
17,Khasithe,+01:02:197 (+2 laps),1270757,01:48:565,9,1
18,Kill3rku,+00:30:604 (+4 laps),1239164,01:49:985,7,1
19,Peszkin,DNF,234076,DNF,2,0
