Position,Driver,Total time,Total time ms,Best lap,Laps,Points
1,Kowen,21:40:581,1300581,01:47:315,12,20
2,ChampOfHell94 HRT,+00:00:489,1301070,01:46:412,12,16
3,Dzonykirango,+00:09:668,1310249,01:48:255,12,13
4,Maciek81PL,+00:13:626,1314207,01:47:900,12,11
5,Khasithe,+00:20:313,1320894,01:48:035,12,9
6,Sagxx,+00:21:737,1322318,01:47:712,12,7
7,Kielkozaur,+00:33:012,1333593,01:47:215,12,5
8,Kill3rku,+00:39:366,1339947,01:49:405,12,4
9,Chadeka90,+00:47:578,1348159,01:49:185,12,3
10,Slawek,+00:53:810,1354391,01:49:747,12,2
11,Chapsior,+01:03:361,1363942,01:49:417,12,1
12,Wuja,+01:10:727,1371308,01:48:062,12,1
13,Fikumacz ,+01:28:606,1389187,01:51:737,12,1
14,Zdybix,+01:31:031,1391612,01:53:027,12,1
15,Drumefy,+01:36:862,1397443,01:53:445,12,1
16,PlugawyDZO,+01:41:033,1401614,01:53:102,12,1
17,THCMJ77,+00:02:482 (+1 lap),1303063,01:52:570,11,1
18,Wyspa,+00:55:624 (+1 lap),1356205,01:49:032,11,1
19,Peszkin,DNF,256731,DNF,2,0
20,Sidyk,DNF,2147483647,DNF,0,0
