Position,Driver,Total time,Best lap,Laps,Points
1,ChampOfHell94,20:23:975,01:41:310,12,20
2,D. Krol,+00:16:759,01:42:125,12,16
3,Kowen,+00:21:877,01:42:642,12,13
4,KejsPower,+00:24:722,01:43:077,12,11
5,Kielkozaur,+00:25:242,01:42:407,12,9
6,Sagxx,+00:25:913,01:42:827,12,7
7,THCMJ77,+00:28:136,01:42:660,12,5
8,Khasithe,+00:39:181,01:42:832,12,4
9,Zdybix,+01:07:193,01:44:900,12,3
10,Slawek,+01:13:270,01:44:797,12,2
11,PlugawyDZO,+01:15:372,01:44:437,12,1
12,Dzonykirango,+00:56:237,01:43:460,12,1
13,Chadeka90,+01:20:840,01:46:175,12,1
14,Fikumacz ,+01:33:484,01:47:057,12,1
15,Chapsior,+01:07:753 (+2 laps),01:45:555,10,1
