Position,Driver,Total time,Total time ms,Best lap,Laps,Points
1,D. Krol,20:54:153,1254153,01:42:040,12,20
2,THCMJ77,+00:07:227,1261380,01:44:362,12,16
3,Kielkozaur,+00:07:408,1261561,01:42:117,12,13
4,Slawek,+00:10:346,1264499,01:44:795,12,11
5,Dzonykirango,+00:11:948,1266101,01:43:560,12,9
6,Kowen,+00:14:549,1268702,01:43:387,12,7
7,Zdybix,+00:27:069,1281222,01:43:630,12,5
8,Sagxx,+00:27:913,1282066,01:43:400,12,4
9,PlugawyDZO,+00:39:864,1294017,01:44:325,12,3
10,Khasithe,+00:40:467,1294620,01:43:670,12,2
11,Chapsior,+01:27:849,1342002,35791:23:647,12,1
12,Chadeka90,+01:29:021,1343174,01:47:667,12,1
13,ChampOfHell94,+-4:55:973 (+2 laps),1070126,01:42:632,10,1
14,KejsPower,DNF,4294802140,DNF,0,0
