Position,Driver,Total time,Best lap,Laps,Points
1,ChampOfHell94,20:38:677,01:33:837,13,20
2,Dzonykirango,+00:24:771,01:35:267,13,16
3,Kowen,+00:25:456,01:34:922,13,13
4,KejsPower,+00:19:677,01:34:250,13,11
5,Khasithe,+00:50:385,01:36:317,13,9
6,Slawek,+01:00:877,01:35:505,13,7
7,THCMJ77,+01:26:485,01:36:897,13,5
8,Sagxx,+01:34:335,01:36:710,13,4
9,Drumefy,+00:02:534 (+1 lap),01:36:610,12,3
10,Zdybix,+00:36:722 (+1 lap),01:36:650,12,2
11,Chadeka90,+01:39:151 (+3 laps),01:39:170,10,1
12,D. Krol,+00:41:520 (+4 laps),01:34:127,9,1
13,Chapsior,DNF,DNF,5,0
