Position,Driver,Total time,Best lap,Laps,Points
1,ChampOfHell94,20:30:766,02:17:605,9,20
2,OneMoreX#8933,+00:08:447,02:18:485,9,16
3,kielkozaur,+00:10:145,02:18:382,9,13
4,THCMJ77,+00:19:323,02:19:152,9,11
5,D3AR316,+00:29:254,02:19:935,9,9
6,MichaX#1419,+00:34:127,02:20:442,9,7
7,Dzonykirango,+00:16:339,02:19:322,9,5
8,Sagxx,+00:43:705,02:19:512,9,4
9,krolik115,+00:45:516,02:20:225,9,3
10,Slawek1980,+00:48:058,02:20:202,9,2
11,Tutego420,+00:49:544,35791:23:647,9,1
12,Khasithe,+00:49:852,02:20:725,9,1
13,Drumefy,+01:03:020,02:22:770,9,1
14,Chaps#8045,+01:10:974,35791:23:647,9,1
15,zdybix,+01:18:118,02:20:845,9,1
16,PlugawyDzo,+02:00:268,02:21:465,9,1
