Position,Driver,Total time,Total time ms,Best lap,Laps,Points
1,Dzonykirango,20:50:810,1250810,02:19:172,9,20
2,D. Krol,+00:01:291,1252101,02:18:922,9,16
3,ChampOfHell94,+00:04:157,1254967,02:17:950,9,13
4,Drumefy,+00:16:032,1266842,02:21:630,9,11
5,THCMJ77,+00:17:003,1267813,02:20:377,9,9
6,Kowen,+00:18:082,1268892,02:20:915,9,7
7,MichaX,+00:18:915,1269725,02:20:274,9,5
8,Slawek,+00:22:600,1273410,02:20:800,9,4
9,Kielkozaur,+00:36:227,1287037,02:19:667,9,3
10,Sagxx,+00:47:800,1298610,02:19:512,9,2
11,Khasithe,+01:08:089,1318899,35791:23:647,9,1
12,PlugawyDZO,+01:35:274,1346084,02:19:927,9,1
13,D3AR316,+03:51:203,1482013,02:21:159,9,1
14,Zdybix,+01:15:361 (+1 lap),1326171,02:21:802,8,1
15,Chapsior,+01:00:193 (+3 laps),1311003,35791:23:647,6,1
