Position,Driver,Total time,Best lap,Laps,Points
1,Dzonykirango,20:50:810,02:19:172,9,20
2,D. Krol,+ 00:01:291,02:18:922,9,16
3,ChampOfHell94,+ 00:04:157,02:17:950,9,13
4,Drumefy,+ 00:16:032,02:21:630,9,11
5,THCMJ77,+ 00:17:003,02:20:377,9,9
6,Kowen,+ 00:18:082,02:20:915,9,7
7,MichaX,+ 00:18:915,02:20:274,9,5
8,Slawek,+ 00:22:600,02:20:800,9,4
9,Kielkozaur,+ 00:36:227,02:19:667,9,3
10,Sagxx,+ 00:47:800,02:19:512,9,2
11,Khasithe,+ 01:08:089,35791:23:647,9,1
12,PlugawyDZO,+ 01:35:274,02:19:927,9,1
13,D3AR316,+ 03:51:203,02:21:159,9,1
14,Zdybix,+1 lap,02:21:802,8,1
15,Chapsior,+3 laps,35791:23:647,6,1
