RaceType,Season,Track,RaceNumber,Driver,SecondsPenalty,PositionPenalty,IsDSQ
GT3,S2,cota,,zdybix,10,0,0
GT3,S2,cota,,driu6743,15,0,0
GT3,S2,cota,,sitek2453,0,0,1
GT3,S2,cota,,drumefy,0,0,1
WL,,oulton,R1,thcmj77,10,0,0
WL,,oulton,R2,KejsPower,10,0,0
WL,,spa,R1,dzonykirango,20,0,0
GT3,S2,spa,,zdybix,10,0,0
GT3,S2,spa,,Kufir_PL,10,0,0
WL,,spa,R1,dzonykirango,20,0,0
WL,S3,snetterton,R1,wyspa,20,0,0
GT3,S2,monza,,Peszkin,15,0,0
STARS,S2,spa,,Wuja,15,0,0
STARS,S2,spa,,Khasite,15,0,0
STARS,S2,spa,,DrLaktoza,15,0,0
WL,,oulton,R1,D3AR316,15,0,0
GT3,S2,red bull,,DrLaktoza,5,0,0
GT3,S2,red bull,,Sitek2453,25,0,0
STARS,S2,silverstone,,Wuja,10,0,0
WL,S3,monza,R2,Drumefy,30,0,0
WL,S3,monza,R1,Peszkin,60,0,0
WL,S3,monza,R1,Hubert,60,0,0
GT3,S2,monza,,Peszkin,60,0,0
GT3,S2,monza,,Syk_151,30,0,0
GT3,S2,kyalami,,Syk_151,30,0,0
GT3,S2,kyalami,,Syk_151,60,0,0
GT3,S2,kyalami,,Zdybix,30,0,0
WL,S3,suzuka,R2,MichaX,60,0,0
WL,S3,suzuka,R2,Chadeka90,60,0,0
GT3,S2,kyalami,,MateuszKaz,30,0,0
STARS,S2,kyalami,,Kielkozaur,60,0,0
STARS,S2,kyalami,,Chapsior,30,0,0
WL,S3,misano,R2,Gremlinek9003,30,0,0
GT3,S2,zandvoort,,Maciek81PL,30,0,0
