Position,Driver,Total time,Total time ms,Best lap,Laps,Points
1,Kielkozaur,46:02:723,2762723,01:55:962,23,11
2,Kowen,+00:01:804,2764527,01:56:130,23,10
3,Dzonykirango,+00:01:682,2766209,01:56:517,23,9
4,Sagxx,+00:25:749,2791958,01:56:227,23,8
5,Chadeka90,+00:01:338,2793296,01:57:822,23,7
6,Chapsior,+00:58:252,2851548,01:58:477,23,6
7,Głaz,+00:02:439,2853987,01:57:483,23,5
8,TOMZI PL,+00:16:333,2870320,02:00:012,23,4
9,Fikumacz,+00:00:263,2870583,01:59:382,23,3
10,Dziadygagoat,DNF,4778704,DNF,6,0
11,Khasithe,DNF,5020650,DNF,3,0
