Position,Driver,Total time,Total time ms,Best lap,Laps,Points
1,ChampOfHell94 HRT,01:22:372,82372,01:22:372,7,0
2,Kielkozaur,01:22:960,82960,01:22:960,8,0
3,Sagxx,01:23:162,83162,01:23:162,9,0
4,D3AR316,01:23:487,83487,01:23:487,10,0
5,KapitanBronz,01:23:635,83635,01:23:635,10,0
6,Khasithe,01:23:982,83982,01:23:982,8,0
7,Kowen,01:24:245,84245,01:24:245,6,0
8,Dzonykirango,01:24:330,84330,01:24:330,10,0
9,Slawek,01:24:830,84830,01:24:830,8,0
10,Zdybix,01:24:860,84860,01:24:860,7,0
11,Wyspa,01:24:930,84930,01:24:930,7,0
12,Dziadygagoat,01:24:952,84952,01:24:952,7,0
13,Sitek2453,01:25:098,85098,01:25:098,8,0
14,TOMZI PL,01:25:415,85415,01:25:415,9,0
15,DrLaktoza,01:25:530,85530,01:25:530,7,0
16,Chadeka90,01:25:655,85655,01:25:655,6,0
17,JMG,01:25:660,85660,01:25:660,7,0
18,VonLobo,01:25:845,85845,01:25:845,5,0
19,VINI,01:26:440,86440,01:26:440,10,0
20,File77,01:27:123,87123,01:27:123,7,0
21,Fikumacz,01:27:177,87177,01:27:177,7,0
22,Arenjnk,01:28:848,88848,01:28:848,5,0
