Position,Driver,Total time,Total time ms,Best lap,Laps,Points
1,ChampOfHell94 HRT,20:48:636,1248636,01:21:997,15,22
2,Kielkozaur,+00:22:669,1271305,01:22:505,15,21
3,KapitanBronz,+00:13:744,1285049,01:23:325,15,20
4,Wyspa,+00:09:373,1294422,01:24:849,15,19
5,D3AR316,+00:10:335,1304757,01:23:244,15,18
6,Dziadygagoat,+00:02:569,1307326,01:25:005,15,17
7,Khasithe,+00:00:747,1308073,01:24:630,15,16
8,Slawek,+00:00:263,1308336,01:23:962,15,15
9,Sagxx,+00:00:721,1309057,01:23:545,15,14
10,Chadeka90,+00:01:059,1310116,01:24:695,15,13
11,JMG,+00:02:940,1313056,01:24:875,15,12
12,File77,+00:02:341,1315397,01:24:750,15,11
13,VonLobo,+00:21:780,1337177,01:25:952,15,10
14,DrLaktoza,+01:26:822 (+1 Okr.),1423999,01:25:392,14,9
15,Fikumacz,+00:02:069,1426068,01:26:730,14,8
16,Zdybix,+00:00:172,1426240,01:24:035,14,7
17,Arenjnk,+01:23:934,1510174,01:29:541,14,6
18,Kowen,+02:55:961 (+1 Okr.),1686135,01:23:305,13,5
19,TOMZI PL,+00:36:882,1723017,01:25:440,13,4
20,Sitek2453,+00:57:610,1780627,01:25:443,13,3
21,VINI,DNF,1855167,DNF,10,0
22,Dzonykirango,DNF,2325557,DNF,9,0
