Position,Driver,Total time,Total time ms,Best lap,Laps,Points
1,Kowen,21:21:726,1281726,01:23:520,15,22
2,Kielkozaur,+00:01:224,1282950,01:22:962,15,21
3,ChampOfHell94 HRT,+00:09:082,1292032,01:22:737,15,20
4,Dzonykirango,+00:06:330,1298362,01:24:290,15,19
5,D3AR316,+00:00:842,1299204,01:24:156,15,18
6,Sagxx,+00:00:692,1299896,01:23:397,15,17
7,KapitanBronz,+00:11:983,1311879,01:23:792,15,16
8,JMG,+00:02:460,1314339,01:24:335,15,15
9,Slawek,+00:05:020,1319359,01:24:412,15,14
10,Dziadygagoat,+00:05:474,1324833,01:25:087,15,13
11,TOMZI PL,+00:09:606,1334439,01:25:705,15,12
12,Fikumacz,+00:04:268,1338707,01:26:470,15,11
13,Wyspa,+00:00:558,1339265,01:24:018,15,10
14,File77,+00:00:268,1339533,01:24:927,15,9
15,Sitek2453,+00:01:595,1341128,01:25:194,15,8
16,VonLobo,+00:16:719,1357847,01:25:805,15,7
17,DrLaktoza,+00:07:239 (+1 Okr.),1365086,01:26:132,14,6
18,Zdybix,+02:33:796 (+1 Okr.),1518882,01:24:412,13,5
19,VINI,+01:19:267 (+1 Okr.),1598149,01:26:670,12,4
20,Chadeka90,DNF,4296380597,DNF,0,0
21,Arenjnk,DNF,6443806485,DNF,0,0
22,Khasithe,DNF,8590545268,DNF,8,0
