Position,Driver,Total time,Total time ms,Best lap,Laps,Points,Car ID,Race Number,Car Model,Car Group,Cup Category,Ballast Kg,Player ID,Is Wet Session,Is Spectator,Missing Mandatory Pitstop
1,Kielkozaur,01:54:475,114475,01:54:475,3,0,1001,77,59,GT4,3,8,M2533274937370993,0,0,-1
2,Sagxx,01:54:535,114535,01:54:535,4,0,2002,981,59,GT4,3,8,P820068980196546852,0,0,-1
3,Maciek81PL,01:55:390,115390,01:55:390,5,0,1011,721,60,GT4,3,2,M2533274858802057,0,0,-1
4,Slawek,01:55:580,115580,01:55:580,4,0,1013,198,59,GT4,3,8,M2533274815947051,0,0,-1
5,TOMZI PL,01:55:692,115692,01:55:692,4,0,1015,969,59,GT4,2,8,M2535432102495105,0,0,-1
6,Khasithe,01:55:842,115842,01:55:842,3,0,1004,27,55,GT4,3,3,M2535446506058100,0,0,-1
7,Kowen,01:56:112,116112,01:56:112,6,0,1010,722,52,GT4,3,-1,M2535442275796797,0,0,-1
8,KubaC701,01:56:625,116625,01:56:625,6,0,1014,37,61,GT4,2,7,M2535443902280216,0,0,-1
9,Dziadygagoat,01:56:665,116665,01:56:665,3,0,2001,3,52,GT4,2,-1,P1597516131133164259,0,0,-1
10,Chapsior,01:56:770,116770,01:56:770,6,0,1008,2,60,GT4,2,2,M2535417305612476,0,0,-1
11,Yachuu,01:56:872,116872,01:56:872,4,0,1007,94,53,GT4,3,2,M2533274858519928,0,0,-1
12,DrLaktoza,01:56:942,116942,01:56:942,4,0,1005,114,60,GT4,2,2,M2535451061354231,0,0,-1
13,Chadeka90,01:56:960,116960,01:56:960,3,0,1003,34,60,GT4,2,2,M2535418471356438,0,0,-1
14,Escudo Wolf,01:57:017,117017,01:57:017,2,0,1002,69,51,GT4,2,-16,M2533274901937449,0,0,-1
15,Driu,01:58:077,118077,01:58:077,1,0,1016,10,52,GT4,3,-1,M2535469870455054,0,0,-1
16,File77,01:58:110,118110,01:58:110,4,0,1009,4,61,GT4,2,7,M2533274853087687,0,0,-1
17,Fikumacz,01:58:985,118985,01:58:985,6,0,2003,78,59,GT4,2,8,P4150822641923286275,0,0,-1
18,Bobas3344,01:59:139,119139,01:59:139,4,0,1006,334,60,GT4,2,2,M2535466365561758,0,0,-1
19,ChampOfHell94 HRT,02:05:857,125857,02:05:857,5,0,1012,43,60,GT4,0,2,M2535414293357824,0,0,-1
