Position,Driver,Total time,Total time ms,Best lap,Laps,Points,Car ID,Race Number,Car Model,Car Group,Cup Category,Ballast Kg,Player ID,Is Wet Session,Is Spectator,Missing Mandatory Pitstop
1,Kielkozaur,45:20:190,2720190,01:54:342,23,19,1001,77,59,0,3,8,M2533274937370993,0,0,0
2,Sagxx,+00:01:701,2721891,01:54:622,23,18,2002,981,59,0,3,8,P820068980196546852,0,0,0
3,Maciek81PL,+00:16:330,2738221,01:55:342,23,17,1011,721,60,0,3,2,M2533274858802057,0,0,0
4,ChampOfHell94 HRT,+00:05:561,2743782,01:54:417,23,16,1012,43,60,0,0,2,M2535414293357824,0,0,0
5,Kowen,+00:16:014,2759796,01:55:462,23,15,1010,722,52,0,3,-1,M2535442275796797,0,0,0
6,Yachuu,+00:10:880,2770676,01:56:392,23,14,1007,94,53,0,3,2,M2533274858519928,0,0,0
7,Dziadygagoat,+00:06:041,2776717,01:56:252,23,13,2001,3,52,0,2,-1,P1597516131133164259,0,0,0
8,Escudo Wolf,+00:03:196,2779913,01:56:392,23,12,1002,69,51,0,2,-16,M2533274901937449,0,0,0
9,Khasithe,+00:00:686,2780599,01:56:187,23,11,1004,27,55,0,3,3,M2535446506058100,0,0,0
10,Slawek,+00:06:057,2786656,01:55:020,23,10,1013,198,59,0,3,8,M2533274815947051,0,0,0
11,TOMZI PL,+00:03:288,2789944,01:56:505,23,9,1015,969,59,0,2,8,M2535432102495105,0,0,0
12,Chadeka90,+00:07:644,2797588,01:56:555,23,8,1003,34,60,0,2,2,M2535418471356438,0,0,0
13,DrLaktoza,+00:15:345,2812933,01:57:065,23,7,1005,114,60,0,2,2,M2535451061354231,0,0,0
14,Driu,+00:18:190,2831123,01:57:347,23,6,1016,10,52,0,3,-1,M2535469870455054,0,0,0
15,File77,+01:43:018 (+1 Okr.),2934141,01:57:150,22,5,1009,4,61,0,2,7,M2533274853087687,0,0,0
16,Chapsior,+00:01:822,2935963,01:57:282,22,4,1008,2,60,0,2,2,M2535417305612476,0,0,0
17,Fikumacz,+00:12:480,2948443,01:57:162,22,3,2003,78,59,0,2,8,P4150822641923286275,0,0,0
18,Bobas3344,+01:00:039,3008482,01:59:088,22,2,1006,334,60,0,2,2,M2535466365561758,0,0,0
19,KubaC701,DNF,3485988,DNF,18,0,1014,37,61,0,2,7,M2535443902280216,0,0,0
