Position,Driver,Total time,Total time ms,Best lap,Laps,Points,Car ID,Race Number,Car Model,Car Group,Cup Category,Ballast Kg,Player ID,Is Wet Session,Is Spectator,Missing Mandatory Pitstop
1,Dzonykirango,01:56:127,116127,01:56:127,4,0,1005,15,30,GT3,3,,M2533274910738158,0,0,-1
2,Sagxx,01:56:340,116340,01:56:340,5,0,2001,981,30,GT3,3,,P820068980196546852,0,0,-1
3,Kielkozaur,01:56:345,116345,01:56:345,4,0,1001,77,30,GT3,3,,M2533274937370993,0,0,-1
4,Kowen,01:56:887,116887,01:56:887,5,0,1002,722,30,GT3,3,,M2535442275796797,0,0,-1
5,Chadeka90,01:57:477,117477,01:57:477,4,0,1006,34,30,GT3,2,,M2535418471356438,0,0,-1
6,Chapsior,01:59:025,119025,01:59:025,3,0,1004,2,30,GT3,2,,M2535417305612476,0,0,-1
7,Fikumacz,01:59:320,119320,01:59:320,5,0,2002,78,30,GT3,2,,P4150822641923286275,0,0,-1
8,TOMZI PL,01:59:465,119465,01:59:465,4,0,1007,969,30,GT3,2,,M2535432102495105,0,0,-1
9,Dziadygagoat,01:59:550,119550,01:59:550,2,0,2003,3,30,GT3,2,,P1597516131133164259,0,0,-1
10,Głaz,02:00:459,120459,02:00:459,3,0,1008,41,30,GT3,2,,M2535442953438293,0,0,-1
11,Khasithe,01:57:162,117162,01:57:162,2,0,1003,27,30,GT3,3,,M2535446506058100,0,0,-1
