Position,Driver,Total time,Total time ms,Best lap,Laps,Points,Car ID,Race Number,Car Model,Car Group,Cup Category,Ballast Kg,Player ID,Is Wet Session,Is Spectator,Missing Mandatory Pitstop
1,Kielkozaur,46:02:723,2762723,01:55:962,23,11,1001,77,30,GT3,3,,M2533274937370993,0,0,0
2,Kowen,+00:01:804,2764527,01:56:130,23,10,1002,722,30,GT3,3,,M2535442275796797,0,0,0
3,Dzonykirango,+00:01:682,2766209,01:56:517,23,9,1005,15,30,GT3,3,,M2533274910738158,0,0,0
4,Sagxx,+00:25:749,2791958,01:56:227,23,8,2001,981,30,GT3,3,,P820068980196546852,0,0,0
5,Chadeka90,+00:01:338,2793296,01:57:822,23,7,1006,34,30,GT3,2,,M2535418471356438,0,0,0
6,Chapsior,+00:58:252,2851548,01:58:477,23,6,1004,2,30,GT3,2,,M2535417305612476,0,0,0
7,Głaz,+00:02:439,2853987,01:57:483,23,5,1008,41,30,GT3,2,,M2535442953438293,0,0,0
8,TOMZI PL,+00:16:333,2870320,02:00:012,23,4,1007,969,30,GT3,2,,M2535432102495105,0,0,0
9,Fikumacz,+00:00:263,2870583,01:59:382,23,3,2002,78,30,GT3,2,,P4150822641923286275,0,0,0
10,Dziadygagoat,DNF,4778704,DNF,6,0,2003,3,30,GT3,2,,P1597516131133164259,0,0,0
11,Khasithe,DNF,5020650,DNF,3,0,1003,27,30,GT3,3,,M2535446506058100,0,0,1
