Position,Driver,Total time,Total time ms,Best lap,Laps,Points,Car ID,Race Number,Car Model,Car Group,Cup Category,Ballast Kg,Player ID,Is Wet Session,Is Spectator,Missing Mandatory Pitstop
1,ChampOfHell94 HRT,01:22:372,82372,01:22:372,7,0,1009,1,35,GT3,0,-6,M2535414293357824,0,0,-1
2,Kielkozaur,01:22:960,82960,01:22:960,8,0,1001,77,32,GT3,3,,M2533274937370993,0,0,-1
3,Sagxx,01:23:162,83162,01:23:162,9,0,2002,981,35,GT3,3,-6,P820068980196546852,0,0,-1
4,D3AR316,01:23:487,83487,01:23:487,10,0,1014,316,26,GT3,3,1,M2535461481488995,0,0,-1
5,KapitanBronz,01:23:635,83635,01:23:635,10,0,2005,276,34,GT3,3,-1,P5684875637068803650,0,0,-1
6,Khasithe,01:23:982,83982,01:23:982,8,0,1006,27,36,GT3,3,-7,M2535446506058100,0,0,-1
7,Kowen,01:24:245,84245,01:24:245,6,0,1010,722,32,GT3,3,,M2535442275796797,0,0,-1
8,Dzonykirango,01:24:330,84330,01:24:330,10,0,1002,15,26,GT3,3,1,M2533274910738158,0,0,-1
9,Slawek,01:24:830,84830,01:24:830,8,0,1007,198,35,GT3,3,-6,M2533274815947051,0,0,-1
10,Zdybix,01:24:860,84860,01:24:860,7,0,1016,83,20,GT3,2,-2,M2533274864176698,0,0,-1
11,Wyspa,01:24:930,84930,01:24:930,7,0,1012,11,35,GT3,3,-6,M2535412857537951,0,0,-1
12,Dziadygagoat,01:24:952,84952,01:24:952,7,0,2001,3,35,GT3,2,-6,P1597516131133164259,0,0,-1
13,Sitek2453,01:25:098,85098,01:25:098,8,0,1003,16,26,GT3,2,1,M2535451005492507,0,0,-1
14,TOMZI PL,01:25:415,85415,01:25:415,9,0,1008,969,35,GT3,2,-6,M2535432102495105,0,0,-1
15,DrLaktoza,01:25:530,85530,01:25:530,7,0,1005,114,32,GT3,2,,M2535451061354231,0,0,-1
16,Chadeka90,01:25:655,85655,01:25:655,6,0,1013,34,26,GT3,2,1,M2535418471356438,0,0,-1
17,JMG,01:25:660,85660,01:25:660,7,0,2004,159,34,GT3,2,-1,P8071619485256217668,0,0,-1
18,VonLobo,01:25:845,85845,01:25:845,5,0,1017,666,26,GT3,2,1,M2535448698298643,0,0,-1
19,VINI,01:26:440,86440,01:26:440,10,0,1004,123,34,GT3,2,-1,M2533274826864301,0,0,-1
20,File77,01:27:123,87123,01:27:123,7,0,1011,92,34,GT3,2,-1,M2533274853087687,0,0,-1
21,Fikumacz,01:27:177,87177,01:27:177,7,0,2003,78,35,GT3,2,-6,P4150822641923286275,0,0,-1
22,Arenjnk,01:28:848,88848,01:28:848,5,0,1015,113,32,GT3,2,,M2535445139255184,0,0,-1
