Position,Driver,Total time,Total time ms,Best lap,Laps,Points,Car ID,Race Number,Car Model,Car Group,Cup Category,Ballast Kg,Player ID,Is Wet Session,Is Spectator,Missing Mandatory Pitstop
1,ChampOfHell94 HRT,20:48:636,1248636,01:21:997,15,22,1009,1,35,0,0,-6,M2535414293357824,0,0,0
2,Kielkozaur,+00:22:669,1271305,01:22:505,15,21,1001,77,32,0,3,0,M2533274937370993,0,0,0
3,KapitanBronz,+00:13:744,1285049,01:23:325,15,20,2005,276,34,0,3,-1,P5684875637068803650,0,0,0
4,Wyspa,+00:09:373,1294422,01:24:849,15,19,1012,11,35,0,3,-6,M2535412857537951,0,0,0
5,D3AR316,+00:10:335,1304757,01:23:244,15,18,1014,316,26,0,3,1,M2535461481488995,0,0,0
6,Dziadygagoat,+00:02:569,1307326,01:25:005,15,17,2001,3,35,0,2,-6,P1597516131133164259,0,0,0
7,Khasithe,+00:00:747,1308073,01:24:630,15,16,1006,27,36,0,3,-7,M2535446506058100,0,0,0
8,Slawek,+00:00:263,1308336,01:23:962,15,15,1007,198,35,0,3,-6,M2533274815947051,0,0,0
9,Sagxx,+00:00:721,1309057,01:23:545,15,14,2002,981,35,0,3,-6,P820068980196546852,0,0,0
10,Chadeka90,+00:01:059,1310116,01:24:695,15,13,1013,34,26,0,2,1,M2535418471356438,0,0,0
11,JMG,+00:02:940,1313056,01:24:875,15,12,2004,159,34,0,2,-1,P8071619485256217668,0,0,0
12,File77,+00:02:341,1315397,01:24:750,15,11,1011,92,34,0,2,-1,M2533274853087687,0,0,0
13,VonLobo,+00:21:780,1337177,01:25:952,15,10,1017,666,26,0,2,1,M2535448698298643,0,0,0
14,Fikumacz,+01:28:891 (+1 Okr.),1426068,01:26:730,14,9,2003,78,35,0,2,-6,P4150822641923286275,0,0,0
15,Zdybix,+00:00:172,1426240,01:24:035,14,8,1016,83,20,0,2,-2,M2533274864176698,0,0,0
16,DrLaktoza,+00:12:759,1438999,01:25:392,14,7,1005,114,32,0,2,0,M2535451061354231,0,0,0
17,Arenjnk,+01:11:175,1510174,01:29:541,14,6,1015,113,32,0,2,0,M2535445139255184,0,0,0
18,Kowen,+02:55:961 (+1 Okr.),1686135,01:23:305,13,5,1010,722,32,0,3,0,M2535442275796797,0,0,0
19,TOMZI PL,+00:36:882,1723017,01:25:440,13,4,1008,969,35,0,2,-6,M2535432102495105,0,0,0
20,Sitek2453,+00:57:610,1780627,01:25:443,13,3,1003,16,26,0,2,1,M2535451005492507,0,0,0
21,VINI,DNF,1855167,DNF,10,0,1004,123,34,0,2,-1,M2533274826864301,0,0,0
22,Dzonykirango,DNF,2325557,DNF,9,0,1002,15,26,0,3,1,M2533274910738158,0,0,0
