Position,Driver,Total time,Total time ms,Best lap,Laps,Points,Car ID,Race Number,Car Model,Car Group,Cup Category,Ballast Kg,Player ID,Is Wet Session,Is Spectator,Missing Mandatory Pitstop
1,Kowen,21:21:726,1281726,01:23:520,15,22,1002,722,32,GT3,3,,M2535442275796797,0,0,0
2,Kielkozaur,+00:01:224,1282950,01:22:962,15,21,1001,77,32,GT3,3,,M2533274937370993,0,0,0
3,ChampOfHell94 HRT,+00:09:082,1292032,01:22:737,15,20,1007,1,35,GT3,0,-6,M2535414293357824,0,0,0
4,Dzonykirango,+00:06:330,1298362,01:24:290,15,19,1009,15,26,GT3,3,1,M2533274910738158,0,0,0
5,D3AR316,+00:00:842,1299204,01:24:156,15,18,1016,316,26,GT3,3,1,M2535461481488995,0,0,0
6,Sagxx,+00:00:692,1299896,01:23:397,15,17,2002,981,35,GT3,3,-6,P820068980196546852,0,0,0
7,KapitanBronz,+00:11:983,1311879,01:23:792,15,16,2003,276,34,GT3,3,-1,P5684875637068803650,0,0,0
8,JMG,+00:02:460,1314339,01:24:335,15,15,2005,159,34,GT3,2,-1,P8071619485256217668,0,0,0
9,Slawek,+00:05:020,1319359,01:24:412,15,14,1014,198,35,GT3,3,-6,M2533274815947051,0,0,0
10,Dziadygagoat,+00:05:474,1324833,01:25:087,15,13,2004,3,35,GT3,2,-6,P1597516131133164259,0,0,0
11,VonLobo,+00:03:014,1327847,01:25:805,15,12,1011,666,26,GT3,2,1,M2535448698298643,0,0,0
12,TOMZI PL,+00:06:592,1334439,01:25:705,15,11,1006,969,35,GT3,2,-6,M2535432102495105,0,0,0
13,Fikumacz,+00:04:268,1338707,01:26:470,15,10,2001,78,35,GT3,2,-6,P4150822641923286275,0,0,0
14,Wyspa,+00:00:558,1339265,01:24:018,15,9,1012,11,35,GT3,3,-6,M2535412857537951,0,0,0
15,File77,+00:00:268,1339533,01:24:927,15,8,1005,92,34,GT3,2,-1,M2533274853087687,0,0,0
16,Sitek2453,+00:01:595,1341128,01:25:194,15,7,1008,16,26,GT3,2,1,M2535451005492507,0,0,0
17,DrLaktoza,+00:23:958 (+1 Okr.),1365086,01:26:132,14,6,1017,114,32,GT3,2,,M2535451061354231,0,0,0
18,Zdybix,+02:03:796 (+1 Okr.),1488882,01:24:412,13,5,1015,83,20,GT3,2,-2,M2533274864176698,0,0,0
19,VINI,+01:49:267 (+1 Okr.),1598149,01:26:670,12,4,1003,123,34,GT3,2,-1,M2533274826864301,0,0,0
20,Khasithe,DNF,2185926,DNF,8,0,1013,27,36,GT3,3,-7,M2535446506058100,0,0,0
21,Arenjnk,DNF,2148954709,DNF,0,0,1004,113,32,GT3,2,,M2535445139255184,0,0,0
22,Chadeka90,DNF,4296380597,DNF,0,0,1010,34,26,GT3,2,1,M2535418471356438,0,0,0
