ID,Name,Year
50,Alpine A110 GT4,2018
12,AMR V12 Vantage GT3,2013
20,AMR V8 Vantage,2019
51,Aston Martin Vantage GT4,2018
3,Audi R8 LMS,2015
19,Audi R8 LMS Evo,2019
80,Audi R8 LMS GT2,2021
31,Audi R8 LMS GT3 Evo 2,2022
52,Audi R8 LMS GT4,2018
8,Bentley Continental GT3,2018
11,Bentley Continental GT3,2015
28,BMW M2 Club Sport Racing,2022
26,BMW M4 GT3,2022
53,BMW M4 GT4,2018
7,BMW M6 GT3,2017
55,Chevrolet Camaro GT4,2017
14,Emil Frey Jaguar G3,2012
32,Ferrari 296 GT3,2023
27,Ferrari 488 Challenge Evo,2022
2,Ferrari 488 GT3,2018
24,Ferrari 488 GT3 Evo,2020
36,Ford Mustang GT3,2024
56,Ginetta G55 GT4,2012
17,Honda NSX GT3,2017
21,Honda NSX GT3 Evo,2019
57,KTM X-Bow GT4,2016
82,KTM Xbow GT2,2021
4,Lamborghini Huracan GT3,2015
16,Lamborghini Huracan GT3 Evo,2019
33,Lamborghini Huracan GT3 Evo 2,2023
18,Lamborghini Huracán SuperTrofeo,2015
30,Lamborghini Huracán SuperTrofeo EVO2,2022
15,Lexus RC F GT3,2016
83,Maserati GT2,2023
58,Maserati MC GT4,2016
59,McLaren 570S GT4,2016
5,McLaren 650S GT3,2015
22,McLaren 720S GT3,2019
35,McLaren 720S GT3 Evo,2023
84,Mercedes AMG GT2,2023
60,Mercedes AMG GT4,2016
1,Mercedes-AMG GT3,2015
25,Mercedes-AMG GT3 EVO,2020
6,Nissan GT-R Nismo GT3,2018
10,Nissan GT-R Nismo GT3,2015
61,Porsche 718 Cayman GT4 Clubsport,2019
23,Porsche 911 II GT3 R,2019
86,Porsche 935,2019
0,Porsche 991 GT3 R,2018
85,Porsche 991 II GT2 RS CS EVO,2023
9,Porsche 991 II GT3 Cup,2017
29,Porsche 992 GT3 Cup,2022
34,Porsche 992 GT3 R,2023
13,Reiter Engineering R-EX GT3,2017
